"ActConfigID","RefGroupID","AlgorithmId","EditionID","ProductDescription","ProductKeyType","IsRandomized","PartNumber","EULAType","IsValid","Start","End","Total Keys"
"{af457d9f-06e3-4ccf-b829-8e76aed0c1e9}","0","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{fbdd9577-6e67-4eae-8400-7fbf3ea8af3c}","1","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{3933d2cc-4350-4e6b-a960-f69182c43152}","2","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{52b063b5-994d-4118-ad4c-caab1b5a3337}","3","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{7d034da1-b4ea-4dbe-a47d-1d0cbe99e0fd}","4","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{2a0cdf21-075f-4ef9-83a0-b3e65239ff95}","5","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{a84a7ee2-6fc5-4bd4-b3ed-cc135bd808b4}","6","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{f6c2605c-2e1d-4ae5-8685-5f7bb0fdd24e}","7","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{56d868a1-ff0f-4c33-aa67-1030ce5701c0}","8","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{74e90417-ff6e-4207-88c0-daeefe8bd094}","9","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{d89d7e62-aac8-4081-8ce2-e681be8aaef7}","10","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{999b2c78-80c6-48d6-aaa6-0d7a859e71d8}","11","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{84d8214b-c218-426d-956b-dd58e0e4ecc8}","12","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{220783e8-08ee-46c9-980e-d7e39175eb9d}","13","msft:rm/algorithm/pkey/980","TEST","TEST","OEM","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
"{1dc3870b-f9d0-4268-abdd-0f03e84af58b}","14","msft:rm/algorithm/pkey/980","TEST","TEST","Retail","FALSE","X99-99999","TEST","true","0","999999999","1000000000"
"","","","","","","","","","","","[SUBTOTAL]","1000000000"
